id,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,prix,categorie,latitude,longitude,gouvernorat,delegation
4194,178,2,1,False,True,False,0,False,False,False,True,True,True,False,120000,appartement,36.8456561,11.0935701,kélibia,Non spécifié
4195,130,3,1,False,True,True,0,False,False,True,False,True,True,False,360000,appartement,36.8533475,10.1169734,mnihla,cité ali bourguiba
4196,165,3,2,False,True,False,0,True,True,True,False,True,True,False,650000,appartement,36.8547834,10.2985614,le kram,les jardins de carthage
4197,170,3,3,False,True,True,0,True,False,True,True,True,True,False,816000,appartement,36.8547834,10.2985614,le kram,les jardins de carthage
4198,57,1,1,False,False,False,1,True,True,False,False,True,True,False,227000,appartement,36.8479251,10.2611996,la marsa,aouina
4199,114,4,1,False,False,False,2,False,False,False,False,True,True,False,231000,appartement,36.8008217,10.199351,tunis,bab bhar
4200,250,3,3,False,True,False,0,True,False,True,False,True,True,False,860000,appartement,36.8749751,10.2454267,la soukra,la soukra
4201,90,2,1,False,False,False,2,False,True,False,False,True,True,False,475000,appartement,36.8767342,10.3210797,la marsa,cité du stade
4202,160,3,2,False,True,True,0,False,False,False,False,True,True,False,490000,appartement,36.4012665,10.5572827,hammamet,hammamet
4203,87,2,1,False,False,False,0,False,False,False,False,False,False,False,235000,appartement,36.8790882,10.327678,la marsa,ain zaghouan nord
4204,94,1,1,False,True,True,7,True,True,False,True,True,True,False,350000,appartement,36.8790882,10.327678,la marsa,ain zaghouan nord
4205,29,1,1,False,True,False,0,False,False,False,True,False,False,False,80000,appartement,36.7313788,10.3363985,hammam lif,cité des instituteurs
4206,133,4,2,False,False,False,0,False,False,False,False,False,False,False,325000,appartement,36.8479251,10.2611996,la marsa,aouina
4207,178,3,3,False,True,False,0,True,True,False,False,True,True,False,1200000,appartement,36.8873334,10.315339,la marsa,la marsa
4208,500,1,1,False,True,False,1,False,False,False,False,False,False,False,650000,appartement,36.8113307,10.0947037,la manouba,la manouba
4209,178,3,3,False,True,True,2,True,True,True,False,True,True,False,780000,appartement,36.8811985,10.211819,la soukra,chotrana 1
4210,59,1,1,False,True,True,0,False,False,False,True,True,True,False,350000,appartement,35.8913101,10.5852113,hammam sousse,el kantaoui
4211,120,3,2,False,True,False,4,False,True,False,False,True,True,False,250000,appartement,36.8479251,10.2611996,la marsa,aouina
4212,90,2,1,False,True,True,1,False,True,False,False,True,True,False,370000,appartement,35.9167222,10.572696,akouda,tantana
4213,82,1,1,False,True,False,3,True,False,False,False,True,True,False,155000,appartement,36.8113307,10.0947037,la manouba,la manouba
4214,62,1,1,False,True,True,0,True,True,False,False,True,True,False,240000,appartement,36.8749751,10.2454267,la soukra,la soukra
4215,82,2,1,False,False,False,1,False,True,False,False,True,True,False,295000,appartement,35.503642,11.0682429,mahdia ville,zone touristique
4216,160,2,1,False,False,False,0,False,False,False,True,False,False,False,360000000,appartement,36.6894636,9.9493159,mornaguia,el fejja
4217,144,3,1,False,True,True,1,False,True,False,False,True,True,False,340000,appartement,36.8479251,10.2611996,la marsa,aouina
4218,135,3,2,False,True,False,0,True,False,False,False,True,True,False,430000,appartement,36.4356376,10.6322692,hammamet,hammamet nord
4219,105,2,1,False,True,False,2,False,False,False,True,True,True,False,365000,appartement,36.4356376,10.6322692,hammamet,hammamet nord
4220,120,2,2,False,True,False,1,True,True,False,False,True,True,False,650000,appartement,36.8790882,10.327678,la marsa,ain zaghouan nord
4221,187,4,1,False,True,True,2,True,True,False,False,True,True,False,580000,appartement,36.8599292,10.1531585,ariana ville,cité ennasr 2
4222,169,3,3,False,False,False,4,True,True,False,True,True,True,False,395000,appartement,36.8585478,10.1682756,ariana ville,cité ennasr 1
4223,146,3,3,False,True,True,0,True,True,False,False,True,True,False,620000,appartement,36.8749751,10.2454267,la soukra,la soukra
4224,167,3,1,False,False,True,0,True,True,False,False,False,True,False,395000,appartement,36.8599292,10.1531585,ariana ville,cité ennasr 2
4225,500,2,1,False,False,False,0,False,False,False,False,True,False,False,1500000,appartement,35.8040805,10.6024567,sousse riadh,sousse riadh
4226,162,3,2,False,True,False,0,False,False,False,False,False,False,False,410000,appartement,36.8749751,10.2454267,la soukra,la soukra
4227,73,1,1,False,False,False,0,False,False,False,False,False,False,False,370000,appartement,36.8790882,10.327678,la marsa,ain zaghouan nord
4228,287,4,2,False,True,True,3,False,True,False,False,False,False,False,290000,appartement,36.8008217,10.199351,tunis,bab bhar
4229,100,1,1,False,False,False,0,False,True,True,False,True,True,False,436000,appartement,36.8547834,10.2985614,le kram,les jardins de carthage
4230,148,3,1,False,True,False,0,True,False,True,False,False,False,False,340000,appartement,36.826018,10.1786435,cité el menzah,Non spécifié
4231,110,2,2,False,True,True,1,True,True,False,False,True,True,False,396000,appartement,36.8749751,10.2454267,la soukra,la soukra
4232,62,1,1,False,True,True,0,False,True,False,False,True,True,False,232500,appartement,36.8790882,10.327678,la marsa,ain zaghouan sud
4233,92,2,1,False,False,False,0,False,True,False,False,True,True,False,230000,appartement,36.8790882,10.327678,la marsa,ain zaghouan nord
4234,113,0,1,False,False,False,0,False,False,False,False,False,False,False,245000,appartement,36.7190678,10.2031435,el mourouj,el mourouj 6
4235,79,1,1,False,True,True,1,False,False,False,False,True,False,False,219000,appartement,36.4356376,10.6322692,hammamet,hammamet nord
4236,67,1,1,False,True,True,0,False,False,True,False,False,False,False,335000,appartement,36.8547834,10.2985614,le kram,les jardins de carthage
4237,138,3,1,False,True,True,5,True,True,True,True,True,True,False,360000,appartement,36.7190678,10.2031435,el mourouj,el mourouj 6
4238,67,1,1,False,True,False,1,True,True,False,False,True,True,False,275950,appartement,36.8599292,10.1531585,ariana ville,cité ennasr 2
4239,70,2,1,False,False,False,0,False,False,False,False,False,False,False,195000,appartement,36.4356376,10.6322692,hammamet,hammamet nord
4240,90,2,1,False,True,True,1,False,False,True,True,True,True,False,320000,appartement,36.8484562,10.1634244,ariana ville,el menzah 6
4241,58,1,1,False,True,True,0,True,True,False,False,True,True,False,270000,appartement,36.8811985,10.211819,la soukra,chotrana 3
4242,161,3,2,False,True,True,2,True,True,False,False,True,True,False,560000,appartement,35.8473584,10.5796445,sahloul,Non spécifié
4243,157,3,2,False,False,False,4,False,True,False,True,True,True,False,340000,appartement,36.8585478,10.1682756,ariana ville,cité ennasr 1
4244,113,2,1,False,True,False,0,True,True,True,False,True,True,False,430000,appartement,36.8479251,10.2611996,la marsa,aouina
4245,126,3,2,False,True,True,4,True,True,False,False,False,True,False,330000,appartement,36.8113307,10.0947037,la manouba,la manouba
4246,250,3,1,False,False,False,0,False,False,False,False,False,False,False,200000,appartement,35.6417897,10.9658372,téboulba,Non spécifié
4247,104,2,1,False,False,False,0,False,False,False,False,False,False,False,110000,appartement,35.6417897,10.9658372,téboulba,Non spécifié
4248,130,2,1,False,True,True,1,False,False,False,False,True,True,False,395000,appartement,36.9037885,10.3002833,la marsa,gammarth village
4249,90,2,1,False,True,True,1,True,True,False,False,True,True,False,315000,appartement,36.8790882,10.327678,la marsa,ain zaghouan sud
4250,90,2,1,False,True,False,0,False,False,False,True,True,True,True,450000,appartement,35.9052411,10.5620745,akouda,chott meriem
4251,74,2,1,False,True,False,0,True,False,False,False,False,False,True,290000,appartement,36.8790882,10.327678,la marsa,Non spécifié
4252,172,3,3,False,True,True,0,True,True,False,False,True,True,False,500000,appartement,36.8479251,10.2611996,la marsa,aouina
4253,163,3,1,False,False,False,0,True,False,True,False,True,True,False,650000,appartement,36.8547834,10.2985614,le kram,les jardins de carthage
4254,107,2,2,False,True,False,0,False,True,False,False,True,True,False,415000,appartement,36.8749751,10.2454267,la soukra,la soukra
4255,95,2,1,False,True,True,2,False,True,True,False,True,True,False,475000,appartement,36.8547834,10.2985614,le kram,les jardins de carthage
4256,167,3,3,False,True,True,0,False,True,True,True,True,True,True,460000,appartement,35.8749788,10.5935183,hammam sousse,cité de la plage
4257,107,2,1,False,True,False,1,True,True,True,True,True,True,False,350000,appartement,36.4512897,10.7355915,nabeul,nabeul
4258,115,2,1,False,False,False,0,False,False,True,False,False,False,False,242000,appartement,36.8606537,10.2087006,la soukra,borj louzir
4259,182,2,1,False,True,True,0,True,False,True,False,False,False,False,448000,appartement,36.8790882,10.327678,la marsa,ain zaghouan sud
4260,300,3,1,False,True,True,0,False,False,False,False,True,False,False,650000,appartement,37.2693795,9.8739505,bizerte nord,cité du lac
4261,62,1,1,False,True,False,4,False,True,False,False,True,True,False,260000,appartement,36.8749751,10.2454267,la soukra,la soukra
4262,64,1,1,False,False,False,3,True,True,False,False,True,True,False,320000,appartement,36.8790882,10.327678,la marsa,ain zaghouan nord
4263,139,1,2,False,True,False,0,False,False,True,True,False,False,False,1050000,appartement,36.8790882,10.327678,la marsa,Non spécifié
4264,220,4,3,False,False,False,0,True,False,False,False,False,False,False,530000,appartement,36.8336187,10.1471736,el menzah,el manar 1
4265,150,3,1,False,True,True,4,False,True,False,False,False,True,False,265000,appartement,34.7394361,10.7604024,sfax ville,sfax ville
4266,60,1,1,False,True,True,6,False,True,False,False,True,True,False,240000,appartement,36.7756462,10.2278955,cité jaouhara,Non spécifié
4267,70,1,1,False,True,False,0,True,False,False,False,False,True,True,240000,appartement,35.9167222,10.572696,akouda,tantana
4268,171,3,3,False,True,False,0,True,True,False,False,True,True,False,700000,appartement,36.8811985,10.211819,la soukra,chotrana 3
4269,162,3,2,False,True,True,0,True,True,False,False,True,True,True,530000,appartement,36.8443809,10.1819354,el menzah,el menzah 9
4270,200,3,2,False,True,False,1,False,False,False,False,False,False,False,650000,appartement,36.6250666,10.6352796,beni khalled,Non spécifié
4271,120,3,1,False,False,False,7,False,True,False,False,False,False,False,450000,appartement,36.8479251,10.2611996,la marsa,aouina
4272,110,0,1,False,False,False,0,True,False,False,False,False,True,False,180000,appartement,36.8587351,10.188232,ariana ville,ariana
4273,90,2,1,False,True,True,1,False,False,False,False,False,False,False,175000,appartement,36.8008217,10.199351,tunis,bab bhar
4274,137,2,3,False,True,False,0,True,True,False,False,True,True,False,800000,appartement,36.8790882,10.327678,la marsa,les berges du lac 2
4275,93,2,1,False,True,False,3,False,True,False,False,True,True,False,380000,appartement,36.8749751,10.2454267,la soukra,la soukra
4276,139,3,2,False,True,True,0,True,True,False,False,True,True,False,486000,appartement,36.8749751,10.2454267,la soukra,la soukra
4277,154,3,2,False,True,False,5,False,True,False,False,True,True,False,380000,appartement,36.8479251,10.2611996,la marsa,aouina
4278,57,1,1,False,False,False,1,True,True,True,False,True,True,False,268000,appartement,36.8749751,10.2454267,la soukra,sidi frej
