surface,nombre_chambres,nombre_salle_bain,parking,piscine,vue_panoramique,jardin,climatisation,chauffage,ascenseur,etat,neuf,balcon,terrasse,haut_standing,price,area,url
85,2,1,False,False,False,False,False,False,False,Nouveau,True,False,True,True,178 000 TND,HammamElGhezaz,https://www.mubawab.tn/fr/a/7968912/appartements-%C3%A0-200-m%C3%A8tre-plage-hammem-ghz
107,2,2,False,False,False,True,True,True,True,Bon état,False,False,True,False,350 000 TND,"Nabeulà
				Nabeul",https://www.mubawab.tn/fr/a/8158257/a-vendre-apparemment-s2-vue-mer
115,4,2,False,False,False,False,False,False,True,Bon état,False,False,False,False,370 000 TND,"Arianaà
				ArianaVille",https://www.mubawab.tn/fr/a/7948256/appart-s4-bella-%C3%A0-vendre-%C3%A0-ariana
470,5,2,False,False,False,False,False,False,False,Bon état,False,False,True,False,870 000 TND,"Arianaà
				ArianaVille",https://www.mubawab.tn/fr/a/7955430/immeuble-lucian-%C3%A0-vendre-%C3%A0-ariana-essoghra
768,16,6,False,False,False,False,False,True,False,Bon état,False,False,False,False,1 200 000 TND,"LesJardinsd'ElMenzah1à
				ArianaVille",https://www.mubawab.tn/fr/a/8231167/immeuble-mirabilis-%C3%A0-vendre-%C3%A0-jardin-de-menzah
68,1,1,False,False,False,False,True,True,True,Nouveau,True,False,True,True,217 600 TND,Sahloul,https://www.mubawab.tn/fr/a/8137482/neuf-s1-%C3%A0-sahloul-%E2%80%93-cl%C3%A9s-en-main-cet-%C3%A9t%C3%A9
114,2,2,False,False,False,False,True,True,True,Bon état,False,False,True,True,310 000 TND,SousseJaouhara,https://www.mubawab.tn/fr/a/8240463/s2-haut-standing-%C3%A0-sahloul-4-avec-vue-panoramique
60,1,1,False,False,False,False,True,False,True,Bon état,False,False,True,False,179 000 TND,Hergla,https://www.mubawab.tn/fr/a/8153165/s1-%C3%A0-deux-pas-de-la-mer-%C3%A0-hergla
107,2,1,False,False,False,False,True,True,False,Bon état,False,False,False,False,235 000 TND,"AinZaghouanSudà
				LaMarsa",https://www.mubawab.tn/fr/a/8270998/%C3%A0-vendre-appartement-s2-%E2%80%93-ain-zaghouan-sud
116,3,2,False,False,False,False,False,False,False,Bon état,False,False,True,False,285 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/8270058/%C3%A0-vendre-s3-%C3%A0-hay-wahat
160,2,1,False,False,False,False,False,True,True,Bon état,False,False,True,False,398 000 TND,"CitéelGhazelaà
				Raoued",https://www.mubawab.tn/fr/a/8252983/appartement-s2-de-131m2-et-30m2-terrasse-%C3%A0-cit%C3%A9-ghazela-ariana
190,3,Non spécifié,False,False,False,False,False,False,False,Non spécifié,False,False,True,False,685 000 TND,"LesJardinsdeCarthageà
				LeKram",https://www.mubawab.tn/fr/a/8259325/appartement-s3-%C3%A0-vendre-aux-jardins-de-carthage
174,3,3,False,False,False,False,False,False,True,Bon état,False,False,True,False,487 200 TND,"Arianaà
				ArianaVille",https://www.mubawab.tn/fr/a/8153087/appart-s3-syrine-%C3%A0-vendre-%C3%A0-cit%C3%A9-ghazela
192,3,2,False,False,False,False,True,True,False,Bon état,False,False,True,True,550 000 TND,"CitéEnnasr2à
				ArianaVille",https://www.mubawab.tn/fr/a/8021066/appart-thyra-%C3%A0-vendre-%C3%A0-ennasr-direct-promoteur
135,4,4,False,False,False,True,True,True,False,Bon état,False,False,True,False,800 000 TND,"BouMhelà
				BoumhelBassatine",https://www.mubawab.tn/fr/a/8170518/villa-karasu-%C3%A0-vendre-%C3%A0-boumhal-el-bassatine
143,2,2,False,False,False,False,True,True,True,Nouveau,True,False,False,False,404 000 TND,"Arianaà
				ArianaVille",https://www.mubawab.tn/fr/a/8038477/appart-s2-el-molk-%C3%A0-vendre-%C3%A0-cit%C3%A9-el-ghazela
147,3,3,False,False,False,False,True,True,True,Nouveau,True,False,True,False,411 000 TND,"Arianaà
				ArianaVille",https://www.mubawab.tn/fr/a/8038491/appart-s3-kmar-%C3%A0-vendre-%C3%A0-cit%C3%A9-el-ghazela
200,3,2,False,False,False,False,True,True,True,Bon état,False,False,True,True,620 000 TND,"CitéEnnasr2à
				ArianaVille",https://www.mubawab.tn/fr/a/8086173/appart-s3-boran-%C3%A0-vendre-%C3%A0-ennasr-2
740,6,5,False,True,False,False,False,False,False,Bon état,False,False,True,False,1 900 000 TND,"ElMenzah5à
				ArianaVille",https://www.mubawab.tn/fr/a/7887637/villa-anastasia-a-vendre-a-menzah-7
