surface,nombre_chambres,nombre_salle_bain,parking,piscine,vue_panoramique,jardin,climatisation,chauffage,ascenseur,etat,neuf,balcon,terrasse,haut_standing,price,area,url
150,3,2,False,True,False,True,False,False,False,À rénover,False,False,True,False,680 000 TND,"CitéelGhazelaà
				Raoued",https://www.mubawab.tn/fr/a/8195635/a-vendre-villa-de-525-m%C2%B2-%C3%A0-cit%C3%A9-ghazela
107,2,1,False,False,False,False,False,False,False,Nouveau,True,False,True,False,250 000 TND,HammamGhezèze,https://www.mubawab.tn/fr/a/8266097/maison-%C3%A0-plage-ezzahra-hammam-ghezez
289,3,1,False,True,False,True,False,False,False,Nouveau,True,False,True,False,2 100 000 TND,"GammarthSupérieurà
				LaMarsa",https://www.mubawab.tn/fr/a/8053570/a-vendre-une-villa-de-luxe-%C3%A0-gammarth
245,3,3,False,False,False,True,True,True,False,Bon état,False,False,True,False,690 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/8226492/%C3%A0-vendre-un-duplex-%C3%A0-la-soukra
260,3,2,False,False,False,False,True,True,False,Nouveau,True,False,False,False,750 000 TND,"RiadhalAndalousà
				ArianaVille",https://www.mubawab.tn/fr/a/8157884/duplex-s3-riadh-landalous
458,5,3,False,False,False,True,True,True,False,Nouveau,True,False,True,False,1 200 000 TND,"Chotrana1à
				LaSoukra",https://www.mubawab.tn/fr/a/7962447/une-superbe-villa-%C3%A0-chotrana-1
505,8,4,False,False,False,True,False,False,False,Bon état,False,False,True,False,1 200 000 TND,"HammamLifà
				HammamLif",https://www.mubawab.tn/fr/a/8172852/immeuble-laizy-%C3%A0-vendre-%C3%A0-hamem-chat
380,6,3,False,False,False,False,False,False,False,Bon état,False,False,True,False,800 000 TND,"BouMhelà
				BoumhelBassatine",https://www.mubawab.tn/fr/a/8175389/immeuble-florentina-%C3%A0-vendre-%C3%A0-boumhal
1700,16,3,False,False,False,False,True,False,False,Bon état,False,False,False,False,2 500 000 TND,"Mégrineà
				Mégrine",https://www.mubawab.tn/fr/a/8176009/immeuble-chavez-%C3%A0-vendre-%C3%A0-megrine
885,8,3,False,False,False,True,False,False,False,Bon état,False,False,True,False,1 500 000 TND,"Ezzahraà
				Ezzahra",https://www.mubawab.tn/fr/a/8176068/immeuble-narcos-%C3%A0-vendre-%C3%A0-ezzahra
250,5,2,False,False,False,False,False,False,False,Bon état,False,False,False,False,750 000 TND,"Radèsà
				Rades",https://www.mubawab.tn/fr/a/8177907/immeuble-invest-rodr%C3%ADguez-%C3%A0-vendre-%C3%A0-rades-plage
450,15,7,False,False,False,True,False,False,False,Bon état,False,False,True,False,950 000 TND,"BorjCedriaà
				HammamChatt",https://www.mubawab.tn/fr/a/8182678/immeuble-blankey-%C3%A0-vendre-%C3%A0-borj-cedria
602,10,4,False,False,False,True,False,False,False,Bon état,False,False,False,False,980 000 TND,"Dendenà
				LaManouba",https://www.mubawab.tn/fr/a/8132609/immeuble-iris-%C3%A0-vendre-%C3%A0-manouba
200,16,8,False,False,False,False,False,False,False,Bon état,False,False,False,False,1 800 000 TND,GafsaVille,https://www.mubawab.tn/fr/a/8127006/un-immeuble-koray-%C3%A0-vendre-%C3%A0-gafsa
474,6,2,False,False,False,False,False,False,False,Bon état,False,False,False,False,1 200 000 TND,"ElMenzah8à
				ArianaVille",https://www.mubawab.tn/fr/a/7918439/immeuble-raina-%C3%A0-vendre-%C3%A0-el-manzah-8
428,3,2,False,False,False,True,False,False,False,Bon état,False,False,True,False,650 000 TND,"Arianaà
				ArianaVille",https://www.mubawab.tn/fr/a/7792947/villa-fragolina-%C3%A0-vendre-%C3%A0-cit%C3%A9-el-ghazela
225,3,2,False,False,False,True,False,False,False,Bon état,False,False,True,False,850 000 TND,"Raouedà
				Raoued",https://www.mubawab.tn/fr/a/7981699/duplex-washington-%C3%A0-vendre-%C3%A0-raoued-plage
388,3,1,False,False,False,False,False,False,False,Bon état,False,False,True,False,1 400 000 TND,"Carthageà
				Carthage",https://www.mubawab.tn/fr/a/8018168/villa-elizabelle-%C3%A0-vendre-%C3%A0-carthage
425,6,3,False,False,False,True,False,False,False,À rénover,False,False,True,False,1 400 000 TND,"TunisBelvedereà
				ElMenzah",https://www.mubawab.tn/fr/a/7959133/villa-marguerite-%C3%A0-vendre-%C3%A0-cit%C3%A9-les-jardins-tunis
250,6,2,False,False,False,False,False,False,False,Nouveau,True,False,False,False,680 000 TND,"BenArousà
				BenArous",https://www.mubawab.tn/fr/a/8120615/immeuble-marah-%C3%A0-vendre-%C3%A0-m%C3%A9dina-jadida
630,4,2,False,False,False,True,False,False,False,Bon état,False,False,True,False,400 000 TND,"Raouedà
				Raoued",https://www.mubawab.tn/fr/a/7793696/villa-younos-%C3%A0-vendre-%C3%A0-raoued
130,3,2,False,False,False,False,False,False,False,Nouveau,True,False,False,False,350 000 TND,"Djerbaà
				Djerba",https://www.mubawab.tn/fr/a/8152923/villa-inachev%C3%A9e-a-vendre-djerba
300,8,3,False,False,False,True,False,False,False,Bon état,False,False,True,False,630 000 TND,"Raouedà
				Raoued",https://www.mubawab.tn/fr/a/7780288/immeuble-annemarie-%C3%A0-vendre-%C3%A0-raoued-plage
155,3,1,False,False,False,False,False,False,False,Bon état,False,False,False,False,400 000 TND,"Arianaà
				ArianaVille",https://www.mubawab.tn/fr/a/8055043/immeuble-aurora-%C3%A0-vendre-%C3%A0-jaafer-1
170,6,2,False,False,False,False,False,False,False,Bon état,False,False,True,False,750 000 TND,"RadesPlageà
				Rades",https://www.mubawab.tn/fr/a/8182697/immeuble-zmorod-%C3%A0-vendre-%C3%A0-rades-plage
