id,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,prix,categorie,latitude,longitude,gouvernorat
1462,131,2,2,1,0,0,5,0,1,0,0,1,1,0,650000,1,36.8547834,10.2985614,Ariana
1468,205,3,2,1,0,0,2,1,0,1,1,1,1,0,1189000,1,36.8547834,10.2985614,Ariana
1484,165,3,2,0,0,0,1,1,1,0,0,1,1,0,950000,1,36.8547834,10.2985614,Ariana
1491,70,1,1,0,1,0,0,0,0,1,0,1,1,0,410000,1,36.8547834,10.2985614,Ariana
1500,99,2,2,1,1,0,0,1,1,1,0,1,1,0,419000,1,36.8547834,10.2985614,Ariana
1507,140,2,2,0,1,1,2,0,1,0,0,1,1,0,470000,1,36.8547834,10.2985614,Ariana
1508,128,3,2,0,1,1,10,1,1,0,0,1,1,0,550000,1,36.8547834,10.2985614,Ariana
1521,136,3,3,1,1,0,0,1,1,1,0,1,1,0,622000,1,36.8547834,10.2985614,Ariana
1538,190,3,1,0,1,1,0,1,0,1,0,0,0,0,780000,1,36.8547834,10.2985614,Ariana
1539,201,3,3,0,1,1,0,1,1,1,0,1,1,0,980000,1,36.8547834,10.2985614,Ariana
1543,136,3,3,1,1,0,0,1,1,1,0,1,1,0,622000,1,36.8547834,10.2985614,Ariana
1564,300,3,2,0,0,0,0,1,0,1,0,0,0,1,975000,1,36.8547834,10.2985614,Ariana
1565,172,4,3,1,1,0,0,1,1,1,0,1,1,0,822000,1,36.8547834,10.2985614,Ariana
1589,99,2,2,1,1,0,0,1,1,1,0,1,1,0,419000,1,36.8547834,10.2985614,Ariana
1621,136,3,3,1,1,0,0,1,1,1,0,1,1,0,622000,1,36.8547834,10.2985614,Ariana
1624,200,2,2,0,1,0,0,0,1,1,0,1,1,0,580000,1,36.8547834,10.2985614,Ariana
1635,156,3,2,0,1,1,3,1,0,0,0,1,1,0,932584,1,36.8547834,10.2985614,Ariana
1636,65,1,1,0,1,1,0,1,1,1,0,1,1,0,375878,1,36.8547834,10.2985614,Ariana
1637,240,4,3,0,1,1,4,1,1,0,0,1,1,0,1500000,1,36.8547834,10.2985614,Ariana
1647,160,3,3,1,1,0,0,1,1,1,0,1,1,0,720000,1,36.8547834,10.2985614,Ariana
1664,167,3,3,0,1,1,1,1,1,0,0,1,1,0,650000,1,36.8547834,10.2985614,Ariana
1667,136,3,2,1,1,0,0,1,1,1,0,1,1,0,622000,1,36.8547834,10.2985614,Ariana
1674,150,2,3,0,1,0,4,0,1,1,0,1,1,0,830000,1,36.8547834,10.2985614,Ariana
1705,147,3,2,0,1,1,0,1,1,0,1,1,1,0,700000,1,36.8547834,10.2985614,Ariana
1708,61,1,1,0,1,1,2,1,1,0,1,1,1,0,350550,1,36.8547834,10.2985614,Ariana
1725,118,2,1,0,1,1,0,1,0,1,1,0,0,0,733000,1,36.8547834,10.2985614,Ariana
1727,106,2,2,0,1,1,0,0,0,1,0,0,0,0,583275,1,36.8547834,10.2985614,Ariana
1767,180,3,3,0,1,1,1,0,1,1,1,1,1,0,720000,1,36.8547834,10.2985614,Ariana
1769,127,2,2,0,0,0,5,0,0,1,0,0,0,0,570000,1,36.8547834,10.2985614,Ariana
1801,143,3,3,0,1,1,1,1,1,0,0,1,1,1,650000,1,36.8547834,10.2985614,Ariana
1803,125,2,2,0,1,1,0,0,0,1,0,0,0,0,725000,1,36.8547834,10.2985614,Ariana
1822,70,1,1,0,0,0,0,0,0,1,0,1,1,0,410000,1,36.8547834,10.2985614,Ariana
1838,131,2,2,0,1,0,2,1,1,1,0,1,1,0,680000,1,36.8547834,10.2985614,Ariana
1863,115,1,1,0,1,0,0,1,0,1,1,0,0,0,420000,1,36.8547834,10.2985614,Ariana
1877,175,3,3,0,1,0,1,1,1,1,0,1,1,0,970000,1,36.8547834,10.2985614,Ariana
1898,156,3,3,0,1,0,0,1,1,1,0,1,1,0,675000,1,36.8547834,10.2985614,Ariana
1920,56,1,1,0,0,0,0,1,1,1,1,1,1,0,382000,1,36.8547834,10.2985614,Ariana
1926,128,2,2,0,1,1,1,1,1,1,0,1,1,0,485000,1,36.8547834,10.2985614,Ariana
1931,153,3,2,0,1,1,0,1,1,1,0,1,1,0,870000,1,36.8547834,10.2985614,Ariana
1932,180,3,2,0,1,0,7,0,1,1,0,1,1,0,750000,1,36.8547834,10.2985614,Ariana
1942,70,1,1,0,1,0,2,0,1,1,1,1,1,0,415000,1,36.8547834,10.2985614,Ariana
1946,185,3,3,0,1,1,1,1,1,1,1,1,1,1,750000,1,36.8547834,10.2985614,Ariana
1950,155,3,3,0,1,1,1,1,1,0,0,1,1,0,789000,1,36.8547834,10.2985614,Ariana
1969,227,3,3,0,1,0,4,1,1,1,0,1,1,0,860000,1,36.8547834,10.2985614,Ariana
1988,224,4,3,0,1,0,6,1,1,0,1,1,1,0,1350000,1,36.8547834,10.2985614,Ariana
2043,188,3,2,0,1,0,0,1,1,1,0,1,1,0,750000,1,36.8547834,10.2985614,Ariana
2078,188,3,2,0,1,0,10,0,1,0,0,1,1,0,1238000,1,36.8547834,10.2985614,Ariana
2128,243,4,3,0,1,0,2,1,1,0,0,1,1,0,1185000,1,36.8547834,10.2985614,Ariana
2142,155,4,1,0,0,0,0,1,0,1,0,0,0,0,650000,1,36.8547834,10.2985614,Ariana
2154,145,3,3,0,1,1,4,1,1,1,1,1,1,0,650000,1,36.8547834,10.2985614,Ariana
2159,0,4,2,0,1,1,0,0,1,1,0,1,1,0,1300000,1,36.8547834,10.2985614,Ariana
2181,147,3,2,0,1,1,0,1,1,0,1,1,1,0,700000,1,36.8547834,10.2985614,Ariana
2201,130,2,2,0,1,0,2,1,1,1,0,1,1,1,690000,1,36.8547834,10.2985614,Ariana
2230,69,1,1,0,1,1,7,0,1,1,1,1,1,0,390000,1,36.8547834,10.2985614,Ariana
2231,70,1,1,0,1,1,0,0,0,1,0,0,0,0,360000,1,36.8547834,10.2985614,Ariana
2235,147,3,1,0,1,1,0,1,0,0,1,0,0,0,690000,1,36.8547834,10.2985614,Ariana
2255,65,1,1,0,0,0,3,1,1,1,0,1,1,0,325000,1,36.8547834,10.2985614,Ariana
2261,100,2,1,0,1,0,0,0,0,1,0,1,1,0,435000,1,36.8547834,10.2985614,Ariana
2262,138,2,2,0,1,0,0,1,1,1,0,1,1,1,579000,1,36.8547834,10.2985614,Ariana
2272,178,3,3,0,1,0,0,0,0,1,0,1,1,0,920000,1,36.8547834,10.2985614,Ariana
2278,145,2,1,1,0,0,1,1,0,1,1,1,1,1,841000,1,36.8547834,10.2985614,Ariana
2285,193,3,2,0,1,0,0,0,0,1,1,0,0,0,850000,1,36.8547834,10.2985614,Ariana
2303,143,2,1,1,0,0,3,1,1,1,1,1,1,0,829000,1,36.8547834,10.2985614,Ariana
2327,208,3,2,1,0,0,1,1,0,1,1,1,1,0,1260000,1,36.8547834,10.2985614,Ariana
2352,250,3,2,1,0,0,1,1,1,1,1,0,1,0,1260000,1,36.8547834,10.2985614,Ariana
2380,93,2,1,0,0,0,0,1,0,1,0,0,0,0,475000,1,36.8547834,10.2985614,Ariana
2390,65,1,1,0,0,0,4,1,1,1,0,1,1,0,330000,1,36.8547834,10.2985614,Ariana
2432,89,2,1,0,1,1,0,1,1,0,0,1,1,1,580000,1,36.8547834,10.2985614,Ariana
2467,0,3,3,0,1,0,1,1,1,0,0,1,1,0,918000,1,36.8547834,10.2985614,Ariana
2503,327,4,1,0,1,0,0,1,1,1,0,1,1,0,1889000,1,36.8547834,10.2985614,Ariana
