id,nombre_des_chambres_df_results,nombre_des_chambres_df_final
6911aed9145e1617cba21c99,6,6.0
6911c583145e1617cba2450a,0,5.0
6911c2d1145e1617cba23fc1,3,3.0
68f62269d0d95991e100ffd5,4,4.0
68f37fa8b756576ab40342f9,4,4.0
6911e653145e1617cba2766a,0,9.0
6911db23145e1617cba26440,0,3.0
688cc987fde7ee723b411760,0,1.0
6911d1b7145e1617cba25705,4,4.0
6911e559145e1617cba27501,6,6.0
69106b3c145e1617cba0fb2a,0,2.0
68baaf49c4782c5427abea7e,4,4.0
6911cfbe145e1617cba25424,7,6.0
690e2a70145e1617cb9efa09,3,4.0
690e4c41145e1617cb9f2b12,4,4.0
690fa0b1145e1617cba076e3,3,3.0
690eedef145e1617cb9f9aab,2,2.0
690f2d94145e1617cb9fe623,3,3.0
690e09e4145e1617cb9ecfa4,4,4.0
690efe4b145e1617cb9fa975,2,3.0
690f1e88145e1617cb9fd327,8,8.0
690fc153145e1617cba0a1b6,0,1.0
690f1557145e1617cb9fc6b4,0,3.0
68aed70f82a3d05f23939363,0,7.0
690c5a688e4e0e4acb5e45e8,2,3.0
690cba9c8e4e0e4acb5e8d8f,3,4.0
690c887f6490817594e4a41e,3,3.0
690dd6f1145e1617cb9e8af8,0,4.0
690c8a3a6490817594e4a55a,5,7.0
690ce10b8e4e0e4acb5ea63e,4,22.0
690db1c3145e1617cb9e52a7,3,5.0
68ac283541fb09fcf7da21e1,0,8.0
686689a8d5464a896ca1f027,5,6.0
690ca74a8e4e0e4acb5e7f80,0,10.0
68bee3f2c4782c5427ae7d6e,4,4.0
690c49db6490817594e47603,2,3.0
68ee988153fa6375757c7796,4,5.0
690bc08f6490817594e44fcc,2,2.0
690b48948e4e0e4acb5dc888,3,3.0
68da933e516f1ddb82e5f343,6,6.0
690a3c246490817594e382d0,0,3.0
690b16088e4e0e4acb5da1b4,3,4.0
67c03a5faf2813f8075b63aa,4,4.0
690bc3756490817594e4517a,3,3.0
690a2cfa8e4e0e4acb5d3f83,3,3.0
68bf01dd985e647fd0ea9d59,2,4.0
690bbee06490817594e44ebf,3,3.0
690b331b8e4e0e4acb5db881,4,5.0
6909c6ca8e4e0e4acb5ced09,3,3.0
6909f6536490817594e34c2d,3,4.0
6908bba28e4e0e4acb5c5dc2,6,6.0
690881a31f77ff74fcddffd5,0,3.0
6909e4bd8e4e0e4acb5d05fa,0,8.0
6909c8cf8e4e0e4acb5ceeca,5,5.0
6909db148e4e0e4acb5cfd53,5,5.0
676aba96f39faeaa98c0bc8a,4,5.0
68d16eee516f1ddb82e089de,0,2.0
6908f15a8e4e0e4acb5c8610,2,2.0
690941706490817594e2f22f,4,4.0
690755478e4e0e4acb5b805f,3,3.0
6907075f6490817594e18cce,4,4.0
690878798e4e0e4acb5c2465,5,5.0
690615686490817594e125ea,2,4.0
690603f78e4e0e4acb5ae034,0,3.0
6905eddf8e4e0e4acb5ad1d7,7,7.0
69072f728e4e0e4acb5b6626,5,6.0
69050c096490817594e0ad88,0,12.0
6904bb318e4e0e4acb5a3602,2,2.0
6903cba9d0d95991e1088e1d,2,4.0
69037426d0d95991e1084e93,0,6.0
69037a0fd0d95991e10852f6,3,4.0
690472d78e4e0e4acb59fb36,2,3.0
690480ad6490817594e041d2,4,4.0
68cd65da07c7711d7c707d72,4,4.0
6904f2a48e4e0e4acb5a6015,2,3.0
6904d8638e4e0e4acb5a4dd1,2,4.0
69037beed0d95991e1085487,4,5.0
6900a086b756576ab40a6208,8,8.0
69031ec9d0d95991e108098d,3,3.0
