id,nombre_des_salles_de_bains_df_results,nombre_des_salles_de_bains_df_final
691f6712145e1617cba969fe,0,1.0
68d169e607c7711d7c730412,3,6.0
691e3430265523b710e7f72c,0,2.0
691e9ee2265523b710e81410,0,1.0
68e0ed05e7035d31a40efdc3,1,3.0
691f3f6b265523b710e876ef,0,2.0
67e8801cfd1c6385be402a99,0,3.0
68dabe27516f1ddb82e61aa0,5,3.0
691df5be265523b710e7cd6c,0,5.0
691de5be145e1617cba89674,2,4.0
691daadd145e1617cba86e7c,0,6.0
691cb0eb265523b710e737df,0,2.0
68ac333f032c2f257217fe08,0,1.0
691ca55f265523b710e73151,1,1.0
691df9f0265523b710e7d00b,0,3.0
691cd6fc265523b710e74d62,1,1.0
68c034e3985e647fd0eb576f,2,2.0
691da0284730c4e48bb141f7,2,3.0
691ca173265523b710e72f51,3,3.0
691d93f3145e1617cba85eae,2,2.0
68dab54c07c7711d7c789803,2,3.0
691c9da5145e1617cba80263,0,1.0
691d7dee265523b710e77a98,0,1.0
691b71ba145e1617cba78fc6,4,4.0
691c66e8145e1617cba7f06d,0,2.0
68e6781ee7035d31a4124dce,0,2.0
68b859b1df9d8936c105e877,1,1.0
691b50ef145e1617cba77c19,1,1.0
691b49bd265523b710e6a2aa,0,4.0
6877602dd5464a896cad6946,3,3.0
691ba5e0145e1617cba7b0b0,0,2.0
691b6999265523b710e6b567,0,3.0
691ad3e3265523b710e64bd8,1,2.0
691a3085265523b710e61b71,2,2.0
6919d354145e1617cba6b13a,4,2.0
6919f17a145e1617cba6c3ee,1,2.0
6919be9c145e1617cba6a521,0,1.0
68f3ccbfd0d95991e1ffc96b,0,24.0
6839b4f8a2a7af1206228b9f,1,1.0
691aeb06145e1617cba73050,2,2.0
691a0161265523b710e5f89b,2,3.0
68ed15b33e7ffb8ac15a1513,2,2.0
6919d1bf265523b710e5dc28,2,2.0
691b2548145e1617cba75c19,0,4.0
6909be168e4e0e4acb5ce594,0,3.0
691a1b8c145e1617cba6df86,3,3.0
691a0b16145e1617cba6d3a1,0,9.0
691777ad145e1617cba5b4eb,0,1.0
6918c4d9145e1617cba64b76,1,1.0
69184844145e1617cba60458,1,1.0
69178fb6145e1617cba5c754,0,1.0
691740a9265523b710e4b921,2,2.0
6918c609145e1617cba64c1a,0,1.0
6917d30e265523b710e51188,0,1.0
681c7882c5beda2b51db4243,2,3.0
691777f5145e1617cba5b51d,0,1.0
69177e1a265523b710e4e427,0,3.0
6918f129265523b710e59284,0,1.0
687901c9d5464a896caec3f1,2,2.0
69173e59145e1617cba58d45,2,2.0
69170738145e1617cba56486,2,1.0
691605d5145e1617cba4edf4,2,2.0
69173c4d265523b710e4b581,0,1.0
69162d69145e1617cba50a7f,0,2.0
69166cf3145e1617cba52f5d,0,1.0
6916ed63265523b710e47ac7,3,1.0
691726bc145e1617cba57b16,0,2.0
6917009b265523b710e489dc,4,2.0
69173d90265523b710e4b6a1,5,2.0
6915f90f145e1617cba4e579,1,1.0
6916ec51265523b710e479ff,1,2.0
69161a87145e1617cba4fd40,0,2.0
68b5bc74711369bbe4f5d7db,1,2.0
68daba12516f1ddb82e61775,3,3.0
6915ea90265523b710e4032e,0,1.0
68dd52fd516f1ddb82e7adf0,1,2.0
69159097145e1617cba49533,0,1.0
6914f1ed145e1617cba46b99,2,2.0
6915ab57265523b710e3d255,2,2.0
6914de96145e1617cba45d2f,3,2.0
6915a1f6265523b710e3caaf,0,2.0
6915c5e9265523b710e3e950,1,1.0
6915c499265523b710e3e83c,1,1.0
691593c8265523b710e3c08e,0,1.0
69120249145e1617cba2a051,1,2.0
68f77072c2818064df214a8b,4,3.0
691490f2265523b710e35064,2,2.0
691464e1145e1617cba4042a,2,1.0
691374d3145e1617cba3904c,0,2.0
69139fee265523b710e2d95e,1,2.0
691471ec265523b710e338a5,0,3.0
68d2f127516f1ddb82e18c68,1,1.0
69143074145e1617cba3e1f4,0,1600.0
6913b301265523b710e2e752,0,1.0
69134ad9265523b710e299de,1,1.0
690dc720145e1617cb9e7364,2,2.0
69144225265523b710e31218,4,4.0
68a83bb682a3d05f238f4d7a,2,2.0
6912fb10145e1617cba33409,1,1.0
68fb357ad0d95991e103d186,1,3.0
682c4fcc6e84e888afbf0b21,2,3.0
67c5850a93928ac5bc159498,2,3.0
69131848145e1617cba34c00,2,1.0
69132200265523b710e27ada,3,3.0
6912fff2145e1617cba33760,2,2.0
6839cc94a2a7af120622a17f,0,3.0
6911f071145e1617cba2852e,1,1.0
690a0da56490817594e35f0e,2,3.0
691319b7145e1617cba34d14,2,2.0
6911e8df145e1617cba27a27,3,3.0
69130758145e1617cba33d49,2,2.0
68cc183907c7711d7c6fb0de,2,3.0
6911ae5c145e1617cba21baf,1,1.0
6911bb8d145e1617cba232ec,1,1.0
6906320d8e4e0e4acb5afd2d,0,1.0
6911aed9145e1617cba21c99,2,2.0
6911c583145e1617cba2450a,0,2.0
6911c2d1145e1617cba23fc1,1,1.0
68f62269d0d95991e100ffd5,3,2.0
68f37fa8b756576ab40342f9,3,4.0
6911e653145e1617cba2766a,0,4.0
6911db23145e1617cba26440,0,2.0
688cc987fde7ee723b411760,0,1.0
6911d1b7145e1617cba25705,2,2.0
6911e559145e1617cba27501,3,3.0
69106b3c145e1617cba0fb2a,0,1.0
68baaf49c4782c5427abea7e,3,5.0
6911cfbe145e1617cba25424,0,4.0
690e2a70145e1617cb9efa09,1,1.0
690e4c41145e1617cb9f2b12,1,2.0
690fa0b1145e1617cba076e3,1,1.0
690eedef145e1617cb9f9aab,1,1.0
690f2d94145e1617cb9fe623,1,1.0
690e09e4145e1617cb9ecfa4,0,1.0
690efe4b145e1617cb9fa975,0,2.0
690f1e88145e1617cb9fd327,0,4.0
690fc153145e1617cba0a1b6,0,1.0
690f1557145e1617cb9fc6b4,0,2.0
68aed70f82a3d05f23939363,0,4.0
690c5a688e4e0e4acb5e45e8,0,1.0
690cba9c8e4e0e4acb5e8d8f,0,1.0
690c887f6490817594e4a41e,3,2.0
690dd6f1145e1617cb9e8af8,2,2.0
690c8a3a6490817594e4a55a,3,2.0
690ce10b8e4e0e4acb5ea63e,0,22.0
690db1c3145e1617cb9e52a7,4,3.0
68ac283541fb09fcf7da21e1,0,1.0
686689a8d5464a896ca1f027,5,4.0
690ca74a8e4e0e4acb5e7f80,0,2.0
68bee3f2c4782c5427ae7d6e,1,4.0
690c49db6490817594e47603,0,2.0
68ee988153fa6375757c7796,4,4.0
690bc08f6490817594e44fcc,0,1.0
690b48948e4e0e4acb5dc888,0,1.0
68da933e516f1ddb82e5f343,5,4.0
690a3c246490817594e382d0,0,2.0
690b16088e4e0e4acb5da1b4,1,1.0
67c03a5faf2813f8075b63aa,4,5.0
690bc3756490817594e4517a,0,1.0
690a2cfa8e4e0e4acb5d3f83,2,3.0
68bf01dd985e647fd0ea9d59,3,4.0
690bbee06490817594e44ebf,2,2.0
690b331b8e4e0e4acb5db881,2,2.0
6909c6ca8e4e0e4acb5ced09,1,2.0
6909f6536490817594e34c2d,2,1.0
6908bba28e4e0e4acb5c5dc2,2,4.0
690881a31f77ff74fcddffd5,0,2.0
6909e4bd8e4e0e4acb5d05fa,0,4.0
6909c8cf8e4e0e4acb5ceeca,3,3.0
6909db148e4e0e4acb5cfd53,6,6.0
676aba96f39faeaa98c0bc8a,0,1.0
68d16eee516f1ddb82e089de,0,1.0
6908f15a8e4e0e4acb5c8610,2,2.0
690941706490817594e2f22f,2,2.0
690755478e4e0e4acb5b805f,1,1.0
6907075f6490817594e18cce,0,2.0
690878798e4e0e4acb5c2465,3,3.0
690615686490817594e125ea,1,2.0
690603f78e4e0e4acb5ae034,0,1.0
6905eddf8e4e0e4acb5ad1d7,0,3.0
69072f728e4e0e4acb5b6626,3,4.0
69050c096490817594e0ad88,0,4.0
6904bb318e4e0e4acb5a3602,1,2.0
6903cba9d0d95991e1088e1d,0,2.0
69037426d0d95991e1084e93,0,3.0
69037a0fd0d95991e10852f6,1,1.0
690472d78e4e0e4acb59fb36,0,1.0
690480ad6490817594e041d2,1,2.0
68cd65da07c7711d7c707d72,3,2.0
6904f2a48e4e0e4acb5a6015,0,1.0
6904d8638e4e0e4acb5a4dd1,1,2.0
69037beed0d95991e1085487,2,3.0
6900a086b756576ab40a6208,0,4.0
69031ec9d0d95991e108098d,1,1.0
68dd3de707c7711d7c7a1fa4,0,4.0
6902007fb756576ab40b2cb3,1,1.0
6901ff43d0d95991e1077a48,2,1.0
6903097ab756576ab40bb0ed,0,6.0
68e3a1786c505afdc05f786e,1,3.0
690089a3d0d95991e1069da7,2,3.0
69022974d0d95991e1079a6c,3,1.0
69033381b756576ab40bcbfe,0,1.0
67347bd83c20a99fb54edfff,3,5.0
690110c3d0d95991e10708a7,0,3.0
68f6242a5709529b94aa45f4,0,2.0
68b2cce6df9d8936c1026f38,1,1.0
6901109fd0d95991e1070888,0,3.0
68f908b7b756576ab40659b2,0,3.0
68ff80c1d0d95991e106196e,0,3.0
68d678dd516f1ddb82e3923c,2,3.0
68ff616ed1363f4f82bbfe8f,2,2.0
68a5d83fccec382a0d7187f6,3,3.0
68ffa954b756576ab409e5f5,0,1.0
68ff75f5a8da4ccab904ef3f,3,2.0
690089ced0d95991e1069dce,2,2.0
68fe7a13d0d95991e105a427,0,3.0
68fe56e3d0d95991e1058a3f,0,1.0
68fd4210d0d95991e1050f92,1,2.0
68c82f9b07c7711d7c6d4a7b,3,2.0
68ff3224d0d95991e105e691,0,3.0
68fe78d2b756576ab4094f1f,0,1.0
6839aaeea2a7af1206228286,0,4.0
68fcf49ed0d95991e104d8f7,1,3.0
68f6215c5709529b94aa446a,1,3.0
68fe692ad0d95991e10596a9,0,3.0
68ff5711d0d95991e105fe2f,2,3.0
68fd281ed0d95991e104fb7b,1,2.0
68c055c9c4782c5427af745d,0,3.0
68fa475dd0d95991e10360b3,5,3.0
68fbca9dd0d95991e10443a4,0,3.0
68fa4174b756576ab4070824,1,2.0
68fb89f4b756576ab407c03e,0,2.0
68fb3cbdd0d95991e103d7d0,0,3.0
68fb77d2b756576ab407b157,3,3.0
68fc943ed0d95991e1049642,0,1.0
68fa4131b756576ab40707ea,0,1.0
68fa2138b756576ab406ed2d,0,1.0
68f8bc9bb756576ab4062074,3,3.0
68f8b534d0d95991e1027066,2,3.0
67a3310becbb2843cb40b8a2,0,4.0
68f7af7fb756576ab40599ca,0,1.0
67f1223fca3467b14e74bb2e,2,2.0
68f8f378d0d95991e1029f56,0,2.0
68f896c7d0d95991e10255ea,0,3.0
68f8de7fd0d95991e1028efe,1,2.0
68fa002ad0d95991e10325e5,0,3.0
68f8b017b756576ab4061690,1,1.0
68f911f2d0d95991e102b513,0,1.0
68f65b1bb756576ab404db87,2,2.0
68f612c0b756576ab4049ee3,1,1.0
68f62909d0d95991e10104a8,1,1.0
68f772add0d95991e101bf4f,0,4.0
685bbb7fd5464a896c9ab66a,1,1.0
68f67681d0d95991e101462e,2,1.0
68f60e376bcfa867f54df90c,0,2.0
68f767c7b756576ab4056273,1,1.0
68f621ca5709529b94aa44ad,1,1.0
68d5202207c7711d7c753fd1,0,3.0
67372ba70d8480a1e00ef3ca,4,2.0
68f62ca4223685127da5dc28,0,1.0
68dd1e6307c7711d7c7a02cf,3,3.0
68f74d23b756576ab4054960,1,1.0
