,id,url,titre,categorie,gouvernorat,neuf,source
58,58,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-des-appartements-s1-s2-s3-direct-promoteur-la-nouvelle-soukra/693aa3cecd04d08be749242e/,"A VENDRE : Des Appartements S+1 , S+2 , S+3  (Direct Promoteur) à La Nouvelle Soukra",Appartements,Tunis,False,tayara
59,59,https://www.tayara.tn/item/appartements/nabeul/hammam-ghezze/a-vendre-appartement-s1-hamem-leghzez/693aa377cd04d08be74923f9/,A vendre appartement S+1 à hamem leghzez,Appartements,Nabeul,False,tayara
60,60,https://www.tayara.tn/item/appartements/ariana/riadh-andalous/vente-riadh-landalous-s3-sans-vis-a-vis/690cb5998e4e0e4acb5e89c0/,vente riadh landalous s+3 sans vis a vis,Appartements,Ariana,False,tayara
61,61,https://www.tayara.tn/item/appartements/sousse/sousse-riadh/appartement-s2-au-quatrime-tage-riadh-5/690474fd8e4e0e4acb59fcd6/,Appartement s+2 au quatrième étage à Riadh 5,Appartements,Sousse,False,tayara
62,62,https://www.tayara.tn/item/appartements/sousse/sousse-riadh/appartement-s3-situ-au-4me-tage-dune-rsidence-bien-entretenu-riadh-5/687b60f394cd0376dce2b4f3/,Appartement S+3 situé au 4éme étage d'une résidence bien entretenu à Riadh 5.,Appartements,Sousse,False,tayara
63,63,https://www.tayara.tn/item/appartements/tunis/le-bardo/a-vendre-appartement-s2-au-rdc-bardo-ii/68b70f20711369bbe4f6b3e4/,A vendre : Appartement S+2 au RDC Bardo II,Appartements,Tunis,False,tayara
64,64,https://www.tayara.tn/item/maisons-et-villas/tunis/le-bardo/a-vendre-villa-r1-khaznadar-bardo/691eeccc145e1617cba90f31/,A vendre : Villa R+1 à khaznadar - Bardo,Maisons et Villas,Tunis,False,tayara
65,65,https://www.tayara.tn/item/maisons-et-villas/tunis/le-bardo/a-vendre-maison-au-bardo/6900d307d0d95991e106dba4/,A Vendre  Maison au Bardo,Maisons et Villas,Tunis,False,tayara
66,66,https://www.tayara.tn/item/maisons-et-villas/tunis/el-omrane-suprieur/duplex-de-140-m-sur-un-terrain-de-104-m-omrane-suprieur/690dc9fe145e1617cb9e786c/,Duplex de 140 m² sur un terrain de 104 m² à Omrane Supérieur,Maisons et Villas,Tunis,False,tayara
67,67,https://www.tayara.tn/item/maisons-et-villas/tunis/bab-souika/maison-91-m-bab-lakhouas/69160d40265523b710e41c30/,Maison 91 m² à Bab Lakhouas,Maisons et Villas,Tunis,False,tayara
