url,title,price,location_time,category,seller
https://www.tayara.tn/item/maisons-et-villas/ariana/riadh-andalous/maison-indpendante-272-m-cit-el-ghazela/693972d18914daae51991cae/,Maison Indépendante 272 M² À Cité El Ghazela,,"Ariana, 2 hours ago",Maisons et Villas,
https://www.tayara.tn/item/maisons-et-villas/tunis/tunis/a-vendre-villa-ilhem-yasmine-hammamet-53564536/69394369cd04d08be74888bc/,"A vendre villa ""Ilhem"" à Yasmine Hammamet 53.564.536",,"tunis, 2 hours ago",Maisons et Villas,
https://www.tayara.tn/item/appartements/ben-arous/el-mourouj-1/-vendre-appartement-s2-au-1er-tage-el-mourouj-1/693a9d068914daae51999595/,à vendre appartement s+2 au 1er étage à El Mourouj 1,,"Ben Arous, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/ben-arous/boumhel/a-vendre-appartement-s1-boumhel/693a9c91cd04d08be7491f3e/,A VENDRE APPARTEMENT S+1 BOUMHEL,,"Ben Arous, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/nabeul/mrezga/a-vendre-un-s1-en-cours-de-construction-dans-une-rsidence-avec-piscine-afh-mrezga-nabeul/673de6ab0d8480a1e0130d7c/,"A Vendre un S+1, en cours de construction, dans une résidence avec piscine à AFH Mrezga Nabeul.",,"Nabeul, 2 hours ago",Appartements,
https://www.tayara.tn/item/maisons-et-villas/nabeul/hammam-ghezze/maison-120-mtres-plage-hammam-ghzeez/689734b3dbb2ce981b9b66e3/,Maison à 120 mètres  plage hammam ghzeez,,"Nabeul, 2 hours ago",Maisons et Villas,
https://www.tayara.tn/item/appartements/ben-arous/ezzahra/appartement-s1-ezzahra/693a9bb3cd04d08be7491ec3/,APPARTEMENT S+1 EZZAHRA,,"Ben Arous, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/nabeul/mrezga/un-appartement-s2-dans-une-rsidence-garde-vue-sur-piscine-afh2-mrezga-nabeul/68149a21c5beda2b51d5b2d0/,Un appartement S+2 dans une résidence gardée vue sur piscine à AFH2 Mrezga Nabeul.,,"Nabeul, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/tunis/appartement-s1-chat-mariem-vendre/693a996bcd04d08be7491d79/,appartement S+1 à Chat mariem à vendre,,"tunis, 3 hours ago",Appartements,
https://www.tayara.tn/item/maisons-et-villas/tunis/tunis/duplex-s4-en-vente/68cbcd8b516f1ddb82dcebb8/,Duplex  S+4 en vente,,"tunis, 3 hours ago",Maisons et Villas,
https://www.tayara.tn/item/maisons-et-villas/ariana/el-menzah-5/villa-individuelle-sur-artre-principale-a-vendre/68d17789516f1ddb82e091e3/,Villa individuelle sur artère principale a vendre,,"Ariana, 3 hours ago",Maisons et Villas,
https://www.tayara.tn/item/appartements/ariana/el-menzah-6/villa-individuelle-en-vente-a-el-menzah-6/68e78c723e7ffb8ac156f8db/,Villa individuelle en vente a El Menzah 6,,"Ariana, 3 hours ago",Appartements,
https://www.tayara.tn/item/appartements/ariana/el-menzah-6/s3-a-vendre-el-menzah-6/68f600cbd0d95991e100ea99/,S+3 a vendre à El Menzah 6,,"Ariana, 3 hours ago",Appartements,
https://www.tayara.tn/item/maisons-et-villas/ariana/el-menzah-5/villa-individuelle-a-vendre-el-menzah-5/690cdc4f8e4e0e4acb5ea2e7/,Villa individuelle a vendre à El Menzah 5,,"Ariana, 3 hours ago",Maisons et Villas,
https://www.tayara.tn/item/maisons-et-villas/tunis/tunis/villa-plain-pied-a-vendre-el-menzah-5/68ef99083e7ffb8ac15b7e17/,Villa plain pied a vendre à El Menzah 5,,"tunis, 3 hours ago",Maisons et Villas,
https://www.tayara.tn/item/bureaux-et-plateaux/ariana/el-menzah-5/hall1-a-vendre-a-el-menzah-5/69162628145e1617cba50501/,Hall+1 a vendre a El Menzah 5,,"Ariana, 3 hours ago",Bureaux et Plateaux,
https://www.tayara.tn/item/maisons-et-villas/ariana/el-menzah-6/villa-individuelle-a-vendre-el-menzah-6/690ce35a8e4e0e4acb5ea7ac/,Villa individuelle a vendre à El Menzah 6,,"Ariana, 3 hours ago",Maisons et Villas,
https://www.tayara.tn/item/appartements/ariana/el-menzah-6/s3-a-vendre-a-el-menzah-6/68bfe86bc4782c5427af0bdc/,S+3 a vendre a El Menzah 6,,"Ariana, 3 hours ago",Appartements,
https://www.tayara.tn/item/maisons-et-villas/ariana/el-menzah-6/a-vendre-villa/6924a46c6e0dc7ea5e33d9ef/,A vendre villa,,"Ariana, 3 hours ago",Maisons et Villas,
https://www.tayara.tn/item/maisons-et-villas/tunis/tunis/triplex-en-vente/692742f6265523b710ebcfa9/,Triplex en vente,,"tunis, 3 hours ago",Maisons et Villas,
https://www.tayara.tn/item/maisons-et-villas/ariana/el-menzah-5/villa-vendre/6932d0af8914daae51964b23/,Villa à vendre,,"Ariana, 3 hours ago",Maisons et Villas,
https://www.tayara.tn/item/terrains-et-fermes/ariana/chotrana-3/terrain-de-660m-soukrachotrana3/678e25769bffab23b80c657d/,Terrain de 660m² Soukra-chotrana3,,"Ariana, 3 hours ago",Terrains et Fermes,
https://www.tayara.tn/item/terrains-et-fermes/nabeul/nabeul/terrain-a-nabeul-cit-el-wafa-afh2-nabeul-occasion-dor-avec-prix-imbattable/693a96888914daae51999184/,TERRAIN A NABEUL Cité el WAFA AFH2 Nabeul occasion d'or avec prix imbattable,,"Nabeul, 3 hours ago",Terrains et Fermes,
https://www.tayara.tn/item/magasins%2c-commerces-et-locaux-industriels/ariana/raoued/borjtouil-locaux-commerciaux-vendre/693a94c38914daae51999051/,Borj-Touil locaux commerciaux à vendre,,"Ariana, 3 hours ago","Magasins, Commerces et Locaux industriels",
https://www.tayara.tn/item/appartements/tunis/el-manar-2/-vendre-appartement-s4-el-manar-2/6920415c265523b710e8e525/,À Vendre – Appartement S+4 à El Manar 2,,"Tunis, 3 hours ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-s2-s3-direct-promoteur-situ-la-nouvelle-soukra/6933ec6fcd04d08be7463ed7/,"À VENDRE : Des appartements S+1, S+2 & S+3 , (Direct Promoteur) situé à La Nouvelle soukra",,"Tunis, 3 hours ago",Appartements,
https://www.tayara.tn/item/terrains-et-fermes/ariana/borj-louzir/borjlouzir-terrain-556m-vendre/693a93facd04d08be74919fd/,Borj-Louzir terrain 556m² à vendre,,"Ariana, 3 hours ago",Terrains et Fermes,
https://www.tayara.tn/item/appartements/ariana/ennasr/-vendre-s3-a-ennassr-2/6880a5fad5464a896cb3f75e/,À vendre S+3 A ennassr 2,,"Ariana, 3 hours ago",Appartements,
https://www.tayara.tn/item/appartements/nabeul/hammamet-nord/-/68e63b596c505afdc06109e7/,𝗔 𝘃𝗲𝗻𝗱𝗿𝗲 𝘂𝗻 𝗮𝗽𝗽𝗮𝗿𝘁𝗲𝗺𝗲𝗻𝘁 𝗦+𝟮 𝘀𝗶𝘁𝘂é à 𝗔𝗙𝗛 𝗠𝗿𝗲𝘇𝗴𝗮,,"Nabeul, 3 hours ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/tunis/un-duplex-a-cit-omran/68c13f1bc4782c5427afe4cb/,Un duplex a Cité Omran,,"tunis, 3 hours ago",Appartements,
https://www.tayara.tn/item/terrains-et-fermes/sfax/route-taniour/deux-lots-de-terrain-teniour-km-5/693a922a8914daae51998eb1/,Deux lots de terrain teniour km 5,,"Sfax, 3 hours ago",Terrains et Fermes,
https://www.tayara.tn/item/terrains-et-fermes/ben-arous/ezzahra/terrain-de-273-m-ezzahra-nakhil/693a91fccd04d08be74918c2/,Terrain de 273 m² à Ezzahra nakhil,,"Ben Arous, 3 hours ago",Terrains et Fermes,
